date,cases,cumulative_cases,deaths,cumulative_deaths
2020-01-10,,41,1,1
2020-01-11,,41,0,1
2020-01-12,,41,0,1
2020-01-13,,41,0,1
2020-01-14,,41,0,1
2020-01-15,,41,0,1
2020-01-16,45,45,0,1
2020-01-17,17,62,1,2
2020-01-18,59,121,1,3
2020-01-19,77,198,1,4
2020-01-20,93,291,0,4
2020-01-21,149,440,2,6
2020-01-22,131,571,11,17
2020-01-23,259,830,8,25
2020-01-24,457,1287,16,41
2020-01-25,688,1975,14,55
2020-01-26,769,2744,1,56
2020-01-27,1771,4515,26,82
2020-01-28,1459,5974,24,106
2020-01-29,1737,7711,27,133
2020-01-30,1981,9692,37,170
