date,cumulative_cases_global,cumulative_cases_outside,number_countries,cumulative_deaths_china,cumulative_deaths_outside,cumulative_sev_cases_china
2019-12-09,64,0,,0,,
2019-12-10,144,0,,0,,
2019-12-11,243,0,,0,,
2019-12-12,360,0,,0,,
2019-12-13,509,0,,0,,
2019-12-14,687,0,,0,,
2019-12-15,907,0,,0,,
2019-12-16,1171,0,,0,,
2019-12-17,1488,0,,0,,
2019-12-18,1850,0,,0,,
2019-12-19,2274,0,,0,,
2019-12-20,2758,0,,0,,
2019-12-21,3325,0,,0,,
2019-12-22,3963,0,,0,,
2019-12-23,4668,0,,0,,
2019-12-24,5423,0,,0,,
2019-12-25,6237,0,,0,,
2019-12-26,7097,0,,0,,
2019-12-27,8015,0,,0,,
2019-12-28,9029,0,,0,,
2019-12-29,10168,0,,0,,
2019-12-30,11490,0,,0,,
2019-12-31,12988,0,,0,,
2020-01-01,14675,0,,0,,
2020-01-02,16603,0,,0,,
2020-01-03,18755,0,,0,,
2020-01-04,21119,0,,0,,
2020-01-05,23725,0,,0,,
2020-01-06,26503,0,,0,,
2020-01-07,29509,0,,0,,
2020-01-08,32817,0,,0,,
2020-01-09,36591,0,,0,,
2020-01-10,40871,0,,1,0,
2020-01-11,45706,0,,1,0,
2020-01-12,51351,0,,1,0,
2020-01-13,57820,0,,1,0,
2020-01-14,65327,0,,1,0,
2020-01-15,74068,0,,1,0,
2020-01-16,84166,0,,1,0,
2020-01-17,95848,0,,2,0,
2020-01-18,109290,0,,3,0,
2020-01-19,124700,0,,4,0,
2020-01-20,142124,0,3,6,0,51
2020-01-21,161546,0,3,6,0,51
2020-01-22,182482,0,4,7,0,73
2020-01-23,205149,0,5,17,0,95
2020-01-24,228908,0,6,25,0,177
2020-01-25,253540,0,9,41,0,237
2020-01-26,278405,0,10,56,0,324
2020-01-27,303079,0,11,80,0,461
2020-01-28,327811,0,14,106,0,976
2020-01-29,353107,0,15,132,0,1239
2020-01-30,378212,0,18,170,0,1370
2020-01-31,403436,0,19,213,0,1527
2020-02-01,428798,0,23,259,0,1795
2020-02-02,454980,0,23,304,1,2110
2020-02-03,482731,0,23,361,2,2296
