country,new_cases,new_deaths,recovered
china,78514,2744,32495
diamond_princess,705,4,10
south_korea,"1,766",13,24
italy,453,12,3
japan,189,3,32
iran,141,22,
singapore,93,0,58
hong_kong,89,2,18
united_states,60,0,6
thailand,40,0,15
taiwan,32,1,5
malaysia,22,0,17
australia,23,0,15
germany,27,0,15
vietnam,16,0,16
uae,13,0,3
united_kingdom,13,0,8
france,18,2,11
canada,12,0,3
macau,10,0,6
bahrain,33,0,
kuwait,43,0,
iraq,6,0,
philippines],3,1,2
india,3,0,3
russia,2,0,2
spain,14,0,2
oman,4,0,
nepal,1,0,1
cambodia,1,0,1
sri_lanka,1,0,1
finland,2,0,1
sweden,2,0,
belgium,1,0,1
egypt,1,0,1
israel,2,0,
lebanon,2,0,
afghanistan,1,0,
austria,2,0,
croatia,3,0,
switzerland,2,0,
algeria,1,0,
brazil,1,0,
greece,1,0,
pakistan,2,0,
north_macedonia,1,0,
goergia,1,0,
norway,1,0,
romania,1,0,
denmark,1,0,
estonia,1,0,
