,date,new_case,new_death,country,territory,link
0,2/27/20 23:59,2,0,Spain,,https://elpais.com/Comentario/1582831600-308e89b3f7684ef005b31f9afea715b6?gla=es
1,2/27/20 23:59,1,0,Germany,Rhineland-Palatinate,https://news.trust.org/item/20200227223210-xqesn
2,2/27/20 23:59,7,0,Japan,,https://www3.nhk.or.jp/news/html/20200227/k10012303921000.html
3,2/27/20 22:49,1,0,Germany,,https://www.facebook.com/lahndillkreis/photos/a.415340428848591/1008571619525466/
4,2/27/20 22:42,1,0,Germany,,https://twitter.com/MartinUMueller/status/1233160626974941186
5,2/27/20 20:51,1,0,Iraq,Kirkuk,https://www.rudaw.net/arabic/kurdistan/270220207
6,2/27/20 20:50,1,0,San Marino,,https://www.sanmarinortv.sm/news/comunicati-c9/gruppo-coordinamento-emergenze-sanitarie-aggiornamento-del-27-febbraio-2020-a184304
7,2/27/20 20:30,1,0,Germany,Bavaria,https://www.stmgp.bayern.de/presse/bayerisches-gesundheitsministerium-ein-neuer-coronavirus-fall-in-bayern/
8,2/27/20 20:23,1,0,Netherlands,,https://www.rivm.nl/nieuws/patient-met-nieuw-coronavirus-in-nederland
9,2/27/20 20:22,2,0,Switzerland,,https://www.nzz.ch/schweiz/siebter-coronavirus-fall-in-der-schweiz-ld.1542664
10,2/27/20 19:31,3,0,Norway,,https://www.fhi.no/nyheter/2020/tre-nye-personer-har-testet-positivt-pa-koronavirus/
11,2/27/20 19:30,6,0,Spain,Valencia,https://elpais.com/sociedad/2020/02/27/actualidad/1582788331_279244.html
12,2/27/20 19:14,1,0,United Kingdom,,https://www.bbc.com/news/uk-northern-ireland-51665704
13,2/27/20 19:05,20,0,France,,https://www.bfmtv.com/sante/direct-coronavirus-covid-19-france-mort-cas-creil-oise-paris-amiens-strasbourg-italie-chine-symptomes-virus-maladie-epidemie
14,2/27/20 18:50,5,0,Sweden,,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/februari/inbjudan-till-presstraff-ytterligare-fall-av-covid-19-i-flera-regioner2/
15,2/27/20 18:49,4,0,Germany,Baden-Württemberg,https://sozialministerium.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/vier-weitere-bestaetigte-corona-faelle-in-baden-wuerttemberg/
16,2/27/20 18:25,14,0,Germany,North Rhine-Westphalia,https://www.n-tv.de/panorama/19-17-NRW-meldet-14-neue-Infektionen--article21602064.html
17,2/27/20 17:46,127,3,Italy,,https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249241616/
18,2/27/20 17:45,1,0,Switzerland,,https://www.swissinfo.ch/eng/covid-19_switzerland-confirms-second-coronavirus-case/45582788
19,2/27/20 17:25,1,0,Oman,,https://twitter.com/OmaniMOH/status/1233080668449624069
20,2/27/20 16:46,6,0,United Arab Emirates,,https://www.wam.ae/en/details/1395302827338
21,2/27/20 16:45,1,0,Switzerland,Aargau Canton,https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78282.html
22,2/27/20 15:00,1,0,Lebanon,,https://www.facebook.com/mophleb/posts/2256178921358433
23,2/27/20 14:30,2,0,Spain,,https://english.elpais.com/society/2020-02-27/spain-reports-first-locally-transmitted-coronavirus-case.html
24,2/27/20 14:22,1,0,Oman,,https://twitter.com/OmaniMOH/status/1233034585996513282
25,2/27/20 13:03,1,0,Canada,Ontario,https://news.ontario.ca/mohltc/en/2020/02/ontario-confirms-positive-case-of-covid-19.html
26,2/27/20 13:02,3,0,Singapore,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
27,2/27/20 11:42,1,0,Spain,Barcelona,http://salutweb.gencat.cat/ca/inici/nota-premsa/?id=383472
28,2/27/20 11:34,75,2,Italy,,https://twitter.com/TgLa7/status/1232992334826045441
29,2/27/20 11:00,2,0,Spain,Madrid,https://www.abc.es/sociedad/abci-coronavirus-ultimas-noticias-directo-ascienden-once-casos-positivos-espana-202002270840_directo.html#vca=rrss&vmc=abc-es&vso=tw&vli=cm-general&_tcode=dGpnYTQz
30,2/27/20 10:45,2,0,Greece,,https://news.trust.org/item/20200227102021-bbdfc
31,2/27/20 10:27,104,4,Iran,,https://twitter.com/IRNA_1313/status/1232975624609959936
32,2/27/20 09:35,1,0,Austria,,https://kurier.at/chronik/wien/coronavirus-erreicht-wien-72-jaehriger-erkrankt/400765893
