date,cases,cumulative_cases,deaths,cumulative_deaths,severe_new,severe_total,,
2020-01-10,,41,1,1,,,,
2020-01-11,,41,0,1,,,,
2020-01-12,,41,0,1,,,,
2020-01-13,,41,0,1,,,,
2020-01-14,,41,0,1,,,,
2020-01-15,,41,0,1,,,,
2020-01-16,4,45,0,1,,,,
2020-01-17,17,62,1,2,,,,
2020-01-18,59,121,1,3,,,,
2020-01-19,77,198,1,4,,,,
2020-01-20,84,282,2,6,,51,,
2020-01-21,32,314,0,6,,51,,
2020-01-22,134,403,6,7,22,73,,
2020-01-23,133,581,5,17,22,95,,
2020-01-24,265,846,8,25,82,177,,
2020-01-25,474,1320,16,41,60,237,,
2020-01-26,694,2014,15,56,87,324,,
2020-01-27,784,2798,24,80,137,461,,
2020-01-28,1795,4593,26,106,515,976,,
2020-01-29,1472,6065,26,132,263,1239,,
2020-01-30,1753,7818,38,170,131,1370,,
2020-01-31,2008,9826,43,213,157,1527,,
2020-02-01,2128,11953,46,259,268,1795,,
2020-02-02,2427,14380,45,304,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
