date,cumulative_cases_global,cumulative_cases_outside,number_countries,cumulative_deaths_china,cumulative_deaths_outside,cumulative_sev_cases_china
2020-01-10,41,0,,1,0,
2020-01-11,41,0,,1,0,
2020-01-12,41,0,,1,0,
2020-01-13,41,0,,1,0,
2020-01-14,41,0,,1,0,
2020-01-15,41,0,,1,0,
2020-01-16,45,0,,1,0,
2020-01-17,62,0,,2,0,
2020-01-18,121,0,,3,0,
2020-01-19,198,0,,4,0,
2020-01-20,282,3,3,6,0,51
2020-01-21,314,3,3,6,0,51
2020-01-22,403,4,4,7,0,73
2020-01-23,581,5,5,17,0,95
2020-01-24,846,11,6,25,0,177
2020-01-25,1320,23,9,41,0,237
2020-01-26,2014,29,10,56,0,324
2020-01-27,2798,37,11,80,0,461
2020-01-28,4593,56,14,106,0,976
2020-01-29,6065,68,15,132,0,1239
2020-01-30,7818,82,18,170,0,1370
2020-01-31,9826,106,19,213,0,1527
2020-02-01,11953,132,23,259,0,1795
2020-02-02,14557,146,23,304,1,2110
2020-02-03,17391,153,23,361,2,2296
