date,cases,cumulative_cases,deaths,cumulative_deaths,severe_new,severe_total,,
2020-01-10,,41,1,1,,,,
2020-01-11,,41,0,1,,,,
2020-01-12,,41,0,1,,,,
2020-01-13,,41,0,1,,,,
2020-01-14,,41,0,1,,,,
2020-01-15,,41,0,1,,,,
2020-01-16,4,45,0,1,,,,
2020-01-17,17,62,1,2,,,,
2020-01-18,59,121,1,3,,,,
2020-01-19,77,198,1,4,,,,
2020-01-20,84,282,2,6,,51,,
2020-01-21,32,314,0,6,,51,,
2020-01-22,134,448,6,12,22,73,,
2020-01-23,133,581,5,17,22,95,,
2020-01-24,265,846,8,25,82,177,,
2020-01-25,474,1320,16,41,60,237,,
2020-01-26,694,2014,15,56,87,324,,
2020-01-27,784,2798,24,80,137,461,,
2020-01-28,1795,4593,26,106,515,976,,
2020-01-29,1472,6065,26,132,263,1239,,
2020-01-30,1753,7818,38,170,131,1370,,
2020-01-31,2008,9826,43,213,157,1527,,
2020-02-01,2128,11953,46,259,268,1795,,
2020-02-02,2427,14380,45,304,322,2117,,
2020-02-03,2912,17292,54,358,386,2503,,
2020-02-04,3494,20786,65,423,463,2966,,
2020-02-05,4193,24979,78,501,556,3522,,
2020-02-06,5032,30011,94,595,667,4189,,
2020-02-07,6038,36049,113,708,800,4989,,
2020-02-08,7246,43295,136,844,960,5949,,
2020-02-09,8695,51990,163,1007,1152,7101,,
2020-02-10,10434,62424,196,1203,1382,8483,,
2020-02-11,12521,74945,235,1438,1658,10141,,
2020-02-12,15025,89970,282,1720,1990,12131,,
2020-02-13,18030,108000,338,2058,2388,14519,,
2020-02-14,21636,129636,406,2464,2866,17385,,
2020-02-15,25963,155599,487,2951,3439,20824,,
2020-02-16,31156,186755,584,3535,4127,24951,,
2020-02-17,37387,224142,701,4236,4952,29903,,
2020-02-18,44864,269006,841,5077,5942,35845,,
2020-02-19,53837,322843,1009,6086,7130,42975,,
2020-02-20,64604,387447,1211,7297,8556,51531,,
2020-02-21,77525,464972,1453,8750,10267,61798,,
