date,cases,cumulative_cases,deaths,cumulative_deaths,severe_new,severe_total
10/01/20,,41,1,1,,
11/01/20,,41,0,1,,
12/01/20,,41,0,1,,
13/01/20,,41,0,1,,
14/01/20,,41,0,1,,
15/01/20,,41,0,1,,
16/01/20,45,45,0,1,,
17/01/20,17,62,1,2,,
18/01/20,59,121,1,3,,
19/01/20,77,198,1,4,,
20/01/20,93,291,0,4,,
21/01/20,149,440,2,6,,
22/01/20,131,571,11,17,,
23/01/20,259,830,8,25,,
24/01/20,457,1287,16,41,,
25/01/20,688,1975,14,55,,
26/01/20,769,2744,1,56,,
27/01/20,1771,4515,26,82,,
28/01/20,1459,5974,24,106,,
29/01/20,1737,7711,27,133,,
30/01/20,1981,9692,37,170,,
,,,,,,
,,,,,,
